participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
107,namida,Noun,1.8,-0.504249293576856,-0.08820910554020034,3,1.375,0
107,kotoshi,Noun,1.944444444,1.0186710465376758,0.08794317996778805,3,4.1727,1
107,noberu,Verb,0.928571429,-0.4518830867930629,-1.1509300395389526,1,1.4712,1
107,tomonau,Verb,1.090909091,-0.3085020174910764,-0.9529566914929498,1,1.7346,1
107,tegaruna,Adj,0.8,-0.5495934206567933,-1.3077249320401696,1,1.2917,1
107,kitanai,Adj,1.909090909,0.25914330926713003,0.04482898451256741,3,2.7774,1
107,kasaneru,Verb,3.3,0.13089509390058462,1.7410646342097533,5,2.5418,1
107,hiyohiyo,Mim,1,1.1170890318444309,-1.063821766740176,1,4.3535,1
107,burari,Mim,2.153846154,-0.5194365822386837,0.34331187940894503,4,1.3471,0
107,pikari,Mim,1.2,-0.1323512429044294,-0.819918601440182,2,2.0582,1
107,marui,Adj,3.666666667,-0.16043956171985252,2.1882204376662475,5,2.0066,0
107,hanashi,Noun,1.05,-0.22058993437691232,-1.0028459754151773,1,1.8961,1
107,nosori,Mim,0.9,-0.0959888456782611,-1.1857733493901728,1,2.125,1
107,gatan,Mim,3.411764706,-0.6074031000792344,1.8773634620208697,5,1.1855,1
108,garan,Mim,1.75,0.6382267438225722,-0.14918489686519887,3,3.4738,1
108,kitanai,Adj,1.909090909,-0.6712005994041881,0.04482898451256741,3,1.0683,0
108,nukeru,Verb,1.6875,-0.523900229802375,-0.22540463602144695,3,1.3389,0
108,yobu,Verb,0.416666667,0.5066580101464515,-1.7752059984586528,1,3.2321,0
108,nigatena,Adj,1.235294118,-0.7130064692690042,-0.7768768659568244,2,0.9915,0
108,debudebu,Mim,1.736842105,-0.566359316383829,-0.16523115806112365,3,1.2609,0
108,namida,Noun,1.8,-0.579532520169357,-0.08820910554020034,3,1.2367,0
108,matsuri,Noun,2,-0.3633722216886476,0.15569405975979345,3,1.6338,1
108,tegami,Noun,0.3,-0.6174190897343466,-1.9174828452901542,1,1.1671,1
108,mukashi,Noun,0.785714286,-0.7081617786206076,-1.3251465863560217,1,1.0004,1
108,kuchi,Noun,2.2,-0.8157247979602907,0.3995972250597875,4,0.8028,1
108,yume,Noun,1.777777778,-0.7793624007341224,-0.1153094569691963,3,0.8696,0
108,busuri,Mim,1.625,-0.07258191333207491,-0.301624375177695,2,2.168,0
108,burari,Mim,2.153846154,-0.05636036486890417,0.34331187940894503,4,2.1978,1
108,yuku,Verb,0.818181818,-0.5602626270285432,-1.2855519172346277,1,1.2721,1
108,furui,Adj,1.909090909,-0.44899804629457957,0.04482898451256741,3,1.4765,1
108,kasaneru,Verb,3.3,-0.5333174374672359,1.7410646342097533,5,1.3216,0
108,funyafunya,Mim,3.833333333,0.5070390532311569,2.391473074603232,5,3.2328,0
108,yomu,Verb,2.125,-0.639955066458349,0.3081335380722896,4,1.1257,1
108,tsuratsura,Mim,1,-0.31840913769341567,-1.063821766740176,1,1.7164,0
108,shiroi,Adj,3.083333333,-0.6821419794078705,1.476836204728255,5,1.0482,1
108,kotoba,Noun,2.727272727,-0.793950907405699,1.0426146605180848,5,0.8428,1
108,haha,Noun,2.357142857,-0.8486578074241107,0.5912354261927087,4,0.7423,1
108,katsukatsu,Mim,1.333333333,-0.5264042272161531,-0.6573164916466915,2,1.3343,0
108,tobu,Verb,3.2,-0.7707617139650588,1.6191130515597567,5,0.8854,1
108,hiyohiyo,Mim,1,-0.533426306920009,-1.063821766740176,1,1.3214,1
108,mizu,Noun,1.5,-0.8114244545757588,-0.4540638534901912,2,0.8107,1
108,kasanaru,Verb,1.857142857,-0.8024427247219897,-0.018522487057275935,3,0.8272,0
108,tsubuyaku,Verb,2,-0.35918074775688863,0.15569405975979345,3,1.6415,0
108,hayamena,Adj,0.083333333,-0.668805471443183,-2.181711274771653,1,1.0727,1
108,marena,Adj,1.083333333,-0.6211750858550137,-0.9621954482716838,1,1.1602,1
108,shinu,Verb,2.25,-0.6616200875601677,0.46057301638478576,4,1.0859,0
108,kusai,Adj,2.083333333,-0.74909669286324,0.2573203782282858,3,0.9252,1
108,kotori,Mim,1.7,-0.24954920881451928,-0.21016068819019737,3,1.8429,0
108,takumina,Adj,0.944444444,-0.7740277975482476,-1.1315726465321811,1,0.8794,0
108,naritatsu,Verb,1.181818182,-0.6528560966119445,-0.842091616245724,2,1.102,1
108,mitsumeru,Verb,1.923076923,-0.904126793611933,0.061885149935217675,3,0.6404,0
108,betsuna,Adj,1.142857143,-0.8655870073303057,-0.8896052199231064,2,0.7112,0
108,kimazui,Adj,2.222222222,-0.9162113028697316,0.4266975764887832,4,0.6182,0
108,karari,Mim,0.428571429,-0.9143605221725912,-1.7606879527889372,1,0.6216,0
108,petan,Mim,2.307692308,0.16197732266726442,0.5309296990580966,4,2.5989,1
108,hanashi,Noun,1.05,-0.7382097475859442,-1.0028459754151773,1,0.9452,1
108,hitotsu,Noun,2.230769231,-0.6029938872419295,0.4371207892335208,4,1.1936,0
108,goshagosha,Mim,1.5,-0.5176946709943164,-0.4540638534901912,2,1.3503,1
108,tomonau,Verb,1.090909091,-0.7612900715738113,-0.9529566914929498,1,0.9028,1
108,tsuyoi,Adj,2.3125,-0.8709216105161808,0.5367927555410339,4,0.7014,0
108,chikaku,Noun,2.769230769,-0.7804510952618522,1.0937831567860354,5,0.8676,0
108,hiratai,Adj,2.909090909,-0.7253087174323485,1.264344811012537,5,0.9689,0
109,kimazui,Adj,2.222222222,-0.4888442660094824,0.4266975764887832,4,1.4033,1
109,hoka,Noun,3,-0.6566665274589981,1.3752098862597628,5,1.095,0
109,moji,Noun,2.642857143,-0.5027795559644211,0.9396685198268475,5,1.3777,0
109,wasureru,Verb,1.545454545,-0.6223726498355162,-0.39863131647633626,2,1.158,1
109,hayamena,Adj,0.083333333,-0.48018914451403216,-2.181711274771653,1,1.4192,0
109,harari,Mim,2.571428571,-0.6527472271591716,0.852560245808555,4,1.1022,0
109,petan,Mim,2.307692308,-0.3304392122248276,0.5309296990580966,4,1.6943,1
109,kotoshi,Noun,1.944444444,-0.6438743667581754,0.08794317996778805,3,1.1185,1
109,gatan,Mim,3.411764706,-0.32777191063189004,1.8773634620208697,5,1.6992,1
109,yutakana,Adj,2.076923077,-0.6568298316381576,0.24950296958436924,3,1.0947,0
109,takumina,Adj,0.944444444,-0.5509542888164554,-1.1315726465321811,1,1.2892,1
109,debudebu,Mim,1.736842105,-0.34911032337539,-0.16523115806112365,3,1.66,1
109,hikari,Noun,2.25,-0.40822643623110655,0.46057301638478576,4,1.5514,1
109,nosori,Mim,0.9,-0.3150341846574539,-1.1857733493901728,1,1.7226,1
109,katsukatsu,Mim,1.333333333,-0.2861837796726198,-0.6573164916466915,2,1.7756,1
109,tegaruna,Adj,0.8,-0.48470722680410994,-1.3077249320401696,1,1.4109,1
109,namida,Noun,1.8,-0.5109991996487795,-0.08820910554020034,3,1.3626,1
109,tegami,Noun,0.3,-0.48726565894427454,-1.9174828452901542,1,1.4062,1
109,gusha,Mim,2.75,0.08495218483039606,1.0703309296347705,5,2.4574,1
109,kiyoi,Adj,2.583333333,-0.661075740296303,0.8670782914782704,4,1.0869,1
109,hitotsu,Noun,2.230769231,-0.6320620311323094,0.4371207892335208,4,1.1402,0
109,tsuyoi,Adj,2.3125,-0.6124110949067905,0.5367927555410339,4,1.1763,1
109,katachi,Noun,1.375,-0.5736535697196171,-0.6065033318026873,2,1.2475,0
109,nukeru,Verb,1.6875,-0.5948831130103441,-0.22540463602144695,3,1.2085,0
109,mitsumeru,Verb,1.923076923,-0.6878031909520642,0.061885149935217675,3,1.0378,0
109,mukashi,Noun,0.785714286,-0.23724696065117498,-1.3251465863560217,1,1.8655,1
109,kotoba,Noun,2.727272727,-0.43598814668821095,1.0426146605180848,5,1.5004,0
109,shinu,Verb,2.25,-0.20034021616114195,0.46057301638478576,4,1.9333,0
109,hajimeru,Verb,1.5,-0.7108290802135451,-0.4540638534901912,2,0.9955,1
109,machigau,Verb,1.2,-0.6216105636661055,-0.819918601440182,2,1.1594,0
109,garan,Mim,1.75,-0.3705031708452763,-0.14918489686519887,3,1.6207,1
109,naritatsu,Verb,1.181818182,-0.4465484836071879,-0.842091616245724,2,1.481,0
109,nemui,Adj,3.583333333,-0.43032693514401715,2.08659411797824,5,1.5108,0
109,buwabuwa,Mim,1.272727273,-0.2062191666108817,-0.7312265409984979,2,1.9225,0
109,hiku,Verb,2.352941176,-0.4341918007174571,0.5861114097153044,4,1.5037,1
109,tomonau,Verb,1.090909091,-0.44061509843106167,-0.9529566914929498,1,1.4919,0
109,kurai,Adj,2.166666667,-0.5297791802521148,0.35894669791629347,4,1.3281,0
109,betsuna,Adj,1.142857143,-0.5745245253418009,-0.8896052199231064,2,1.2459,0
109,miseru,Verb,1.461538462,-0.4026740941396855,-0.5009683077927211,2,1.5616,1
109,jimoto,Noun,1.285714286,-0.22908175169320302,-0.7153886731060373,2,1.8805,1
109,hiratai,Adj,2.909090909,-0.7483346066938292,1.264344811012537,5,0.9266,0
109,tochi,Noun,1.2,-0.5316843956756416,-0.819918601440182,2,1.3246,0
109,chirochiro,Mim,2.133333333,-0.4135610394169814,0.318296169553284,4,1.5416,1
109,shobon,Mim,2.5,-0.6372877648654115,0.7654519730097781,4,1.1306,0
109,kasanaru,Verb,1.857142857,-0.7955839491972935,-0.018522487057275935,3,0.8398,1
109,kebakeba,Mim,2,-0.27633109419666707,0.15569405975979345,3,1.7937,1
109,marui,Adj,3.666666667,-0.2877623867378278,2.1882204376662475,5,1.7727,1
109,kasaneru,Verb,3.3,-0.23643043975537775,1.7410646342097533,5,1.867,1
110,nakama,Noun,2.142857143,0.6051304301795924,0.32991060657686283,4,3.413,1
110,matomeru,Verb,2.363636364,0.571435334546362,0.5991543607486971,4,3.3511,1
110,sadameru,Verb,2.625,0.5940801807231373,0.9178914513222742,5,3.3927,1
110,wasawasa,Mim,3.3,1.6107575654434114,1.7410646342097533,5,5.2604,1
110,harari,Mim,2.571428571,2.274643488452914,0.852560245808555,4,6.48,0
110,karari,Mim,0.428571429,0.576661068279464,-1.7606879527889372,1,3.3607,1
110,furina,Adj,1.222222222,1.140877007275322,-0.7928182500111861,2,4.3972,1
110,sakana,Noun,1.25,1.5519136262196276,-0.7589428101151835,2,5.1523,1
110,yutakana,Adj,2.076923077,1.2313475225296506,0.24950296958436924,3,4.5634,0
110,mijikana,Adj,0.833333333,2.1849894940943817,-1.2670744048966758,1,6.3153,1
110,petan,Mim,2.307692308,3.4454800182996976,0.5309296990580966,4,8.6309,1
110,busuri,Mim,1.625,3.236940581513095,-0.301624375177695,2,8.2478,0
110,kitanai,Adj,1.909090909,1.6876193991011206,0.04482898451256741,3,5.4016,1
110,haha,Noun,2.357142857,3.881012264117918,0.5912354261927087,4,9.431,0
110,gusha,Mim,2.75,1.1644472438006677,1.0703309296347705,5,4.4405,1
110,hitotsu,Noun,2.230769231,-0.09353928299086944,0.4371207892335208,4,2.1295,0
110,futsufutsu,Mim,3.2,1.1207361585123246,1.6191130515597567,5,4.3602,0
110,kimazui,Adj,2.222222222,0.5210832126388685,0.4266975764887832,4,3.2586,1
110,pekon,Mim,1,1.9699178901414023,-1.063821766740176,1,5.9202,0
